320.91,338.38,354.9,369.82,382.35,391.7,397.27,398.92,396.98,392.19,385.35,377.21,368.32,359.05,349.63,340.2,330.82,321.5,312.23,0.02,0.07,0.14
324.13,344.89,364.78,383.01,398.48,409.89,416.23,417.23,413.57,406.48,397.24,386.87,376.04,365.12,354.33,343.73,333.34,323.12,313.03,0.02,0.07,0.15
306.04,309,311.79,314.34,316.57,318.42,319.85,320.82,321.32,321.35,320.91,320.05,318.79,317.18,315.27,313.11,310.75,308.25,305.65,0.02,0.08,0.05
306.9,310.69,314.26,317.52,320.37,322.73,324.54,325.76,326.37,326.38,325.79,324.65,323.02,320.95,318.51,315.76,312.78,309.61,306.34,0.02,0.08,0.06
307.86,312.58,317.03,321.08,324.62,327.55,329.78,331.27,331.99,331.95,331.17,329.71,327.64,325.05,322.02,318.62,314.95,311.08,307.07,0.02,0.08,0.07
308.95,314.72,320.17,325.14,329.47,333.04,335.75,337.52,338.34,338.21,337.18,335.33,332.75,329.56,325.85,321.73,317.31,312.66,307.86,0.02,0.08,0.08
310.2,317.19,323.8,329.81,335.06,339.37,342.61,344.7,345.61,345.35,343.99,341.64,338.45,334.54,330.06,325.13,319.87,314.37,308.72,0.02,0.08,0.09
311.64,320.04,327.99,335.23,341.55,346.73,350.6,353.03,354,353.53,351.73,348.76,344.81,340.05,334.68,328.83,322.64,316.21,309.64,0.02,0.08,0.1
313.3,323.34,332.85,341.54,349.14,355.36,359.96,362.77,363.76,362.97,360.57,356.8,351.9,346.14,339.72,332.83,325.61,318.18,310.62,0.02,0.08,0.11
315.2,327.12,338.46,348.89,358.04,365.52,371,374.25,375.18,373.91,370.68,365.86,359.78,352.79,345.16,337.1,328.77,320.26,311.65,0.02,0.08,0.12
317.36,331.43,344.92,357.42,368.47,377.53,384.11,387.84,388.61,386.6,382.22,376,368.44,359.98,350.95,341.59,332.04,322.39,312.71,0.02,0.08,0.13
319.75,336.26,352.23,367.22,380.65,391.76,399.77,404.07,404.49,401.34,395.31,387.22,377.79,367.57,356.96,346.18,335.35,324.54,313.76,0.02,0.08,0.14
322.33,341.51,360.31,378.3,394.75,408.59,418.54,423.55,423.3,418.38,409.99,399.4,387.63,375.37,362.99,350.71,338.58,326.62,314.77,0.02,0.08,0.15
306.05,309.02,311.84,314.44,316.74,318.69,320.23,321.32,321.94,322.07,321.72,320.91,319.67,318.03,316.06,313.79,311.3,308.63,305.84,0.02,0.09,0.05
306.89,310.68,314.29,317.6,320.54,323.03,325,326.39,327.17,327.32,326.86,325.8,324.2,322.1,319.57,316.68,313.51,310.12,306.6,0.02,0.09,0.06
307.82,312.52,316.99,321.11,324.77,327.86,330.3,332.02,332.98,333.15,332.54,331.2,329.17,326.55,323.4,319.82,315.91,311.74,307.41,0.02,0.09,0.07
308.86,314.59,320.04,325.06,329.53,333.32,336.3,338.4,339.54,339.72,338.93,337.24,334.72,331.48,327.63,323.28,318.53,313.51,308.3,0.02,0.09,0.08
310.04,316.92,323.48,329.55,334.96,339.55,343.17,345.69,347.05,347.21,346.19,344.07,340.96,337,332.33,327.09,321.42,315.45,309.27,0.02,0.09,0.09
311.37,319.57,327.4,334.67,341.18,346.71,351.08,354.12,355.72,355.83,354.51,351.85,348.01,343.19,337.56,331.31,324.6,317.57,310.33,0.02,0.09,0.1
312.87,322.55,331.84,340.51,348.32,355,360.27,363.93,365.8,365.83,364.09,360.73,355.99,350.12,343.36,335.95,328.07,319.87,311.48,0.02,0.09,0.11
314.54,325.9,336.85,347.16,356.52,364.58,370.99,375.41,377.61,377.5,375.18,370.9,365,357.84,349.75,341,331.81,322.34,312.71,0.02,0.09,0.12
316.38,329.59,342.44,354.65,365.88,375.68,383.54,388.95,391.54,391.18,388.04,382.52,375.12,366.37,356.69,346.42,335.78,324.94,313.99,0.02,0.09,0.13
318.35,333.59,348.55,362.98,376.48,388.48,398.24,404.98,408.08,407.31,402.98,395.73,386.37,375.64,364.08,352.09,339.89,327.61,315.3,0.02,0.09,0.14
320.4,337.78,355.05,372.02,388.27,403.1,415.45,424.05,427.83,426.39,420.26,410.59,398.65,385.47,371.74,357.84,343.99,330.24,316.59,0.02,0.09,0.15
305.98,308.89,311.67,314.25,316.56,318.55,320.16,321.34,322.07,322.31,322.07,321.34,320.16,318.55,316.56,314.25,311.67,308.89,305.98,0.02,0.1,0.05
306.79,310.49,314.02,317.31,320.26,322.81,324.87,326.39,327.33,327.64,327.33,326.39,324.87,322.81,320.26,317.31,314.02,310.49,306.79,0.02,0.1,0.06
307.67,312.23,316.6,320.67,324.34,327.51,330.08,331.99,333.16,333.55,333.16,331.99,330.08,327.51,324.34,320.67,316.6,312.23,307.67,0.02,0.1,0.07
308.64,314.17,319.46,324.41,328.89,332.77,335.94,338.29,339.73,340.22,339.73,338.29,335.94,332.77,328.89,324.41,319.46,314.17,308.64,0.02,0.1,0.08
309.72,316.32,322.66,328.6,334.01,338.71,342.58,345.46,347.23,347.84,347.23,345.46,342.58,338.71,334.01,328.6,322.66,316.32,309.72,0.02,0.1,0.09
310.92,318.71,326.23,333.31,339.78,345.47,350.17,353.69,355.87,356.61,355.87,353.69,350.17,345.47,339.78,333.31,326.23,318.71,310.92,0.02,0.1,0.1
312.25,321.36,330.19,338.57,346.3,353.15,358.87,363.19,365.89,366.8,365.89,363.19,358.87,353.15,346.3,338.57,330.19,321.36,312.25,0.02,0.1,0.11
313.69,324.26,334.56,344.43,353.63,361.89,368.87,374.21,377.57,378.72,377.57,374.21,368.87,361.89,353.63,344.43,334.56,324.26,313.69,0.02,0.1,0.12
315.24,327.38,339.31,350.86,361.79,371.77,380.35,387.02,391.29,392.76,391.29,387.02,380.35,371.77,361.79,350.86,339.31,327.38,315.24,0.02,0.1,0.13
316.85,330.65,344.34,357.79,370.74,382.82,393.47,401.95,407.47,409.4,407.47,401.95,393.47,382.82,370.74,357.79,344.34,330.65,316.85,0.02,0.1,0.14
318.47,333.98,349.52,365.03,380.32,394.98,408.32,419.3,426.64,429.24,426.64,419.3,408.32,394.98,380.32,365.03,349.52,333.98,318.47,0.02,0.1,0.15
305.84,308.63,311.3,313.79,316.06,318.03,319.67,320.91,321.72,322.07,321.94,321.32,320.23,318.69,316.74,314.44,311.84,309.02,306.05,0.02,0.11,0.05
306.6,310.12,313.51,316.68,319.57,322.1,324.2,325.8,326.86,327.32,327.17,326.39,325,323.03,320.54,317.6,314.29,310.68,306.89,0.02,0.11,0.06
307.41,311.74,315.91,319.82,323.4,326.55,329.17,331.2,332.54,333.15,332.98,332.02,330.3,327.86,324.77,321.11,316.99,312.52,307.82,0.02,0.11,0.07
308.3,313.51,318.53,323.28,327.63,331.48,334.72,337.24,338.93,339.72,339.54,338.4,336.3,333.32,329.53,325.06,320.04,314.59,308.87,0.02,0.11,0.08
309.27,315.45,321.42,327.09,332.33,337,340.96,344.07,346.19,347.21,347.05,345.69,343.17,339.55,334.96,329.55,323.48,316.92,310.04,0.02,0.11,0.09
310.33,317.57,324.6,331.31,337.56,343.19,348.01,351.85,354.51,355.83,355.72,354.12,351.08,346.71,341.18,334.67,327.4,319.57,311.37,0.02,0.11,0.1
311.48,319.87,328.07,335.95,343.36,350.12,355.99,360.73,364.09,365.83,365.8,363.93,360.27,355,348.32,340.51,331.84,322.55,312.87,0.02,0.11,0.11
312.71,322.34,331.81,341,349.75,357.84,365,370.9,375.18,377.5,377.61,375.41,370.99,364.58,356.52,347.16,336.85,325.9,314.54,0.02,0.11,0.12
313.99,324.94,335.78,346.42,356.69,366.37,375.12,382.52,388.04,391.18,391.54,388.95,383.54,375.68,365.88,354.65,342.44,329.59,316.38,0.02,0.11,0.13
315.3,327.61,339.89,352.09,364.08,375.64,386.37,395.73,402.98,407.31,408.08,404.98,398.24,388.48,376.48,362.98,348.55,333.59,318.36,0.02,0.11,0.14
316.59,330.24,343.99,357.84,371.74,385.47,398.65,410.59,420.26,426.39,427.83,424.05,415.45,403.1,388.27,372.02,355.05,337.78,320.4,0.02,0.11,0.15
305.65,308.25,310.75,313.11,315.27,317.18,318.79,320.05,320.91,321.35,321.32,320.82,319.85,318.42,316.57,314.34,311.79,309,306.04,0.02,0.12,0.05
306.34,309.61,312.78,315.76,318.51,320.95,323.02,324.65,325.79,326.38,326.37,325.76,324.54,322.73,320.37,317.52,314.26,310.69,306.9,0.02,0.12,0.06
307.07,311.08,314.95,318.62,322.02,325.05,327.64,329.71,331.17,331.95,331.99,331.27,329.78,327.55,324.62,321.08,317.03,312.58,307.86,0.02,0.12,0.07
307.86,312.66,317.31,321.73,325.85,329.56,332.75,335.33,337.18,338.21,338.34,337.52,335.75,333.04,329.47,325.14,320.17,314.72,308.95,0.02,0.12,0.08
308.72,314.37,319.87,325.13,330.06,334.54,338.45,341.64,343.99,345.35,345.61,344.7,342.61,339.37,335.06,329.81,323.8,317.19,310.2,0.02,0.12,0.09
309.64,316.21,322.64,328.83,334.68,340.05,344.81,348.76,351.73,353.53,354,353.03,350.6,346.73,341.55,335.23,327.99,320.04,311.64,0.02,0.12,0.1
310.62,318.18,325.61,332.83,339.72,346.14,351.91,356.8,360.57,362.97,363.76,362.77,359.96,355.36,349.14,341.54,332.85,323.34,313.3,0.02,0.12,0.11
311.65,320.26,328.77,337.1,345.16,352.79,359.78,365.86,370.68,373.91,375.18,374.24,371,365.52,358.04,348.89,338.46,327.12,315.2,0.02,0.12,0.12
312.71,322.39,332.04,341.59,350.95,359.98,368.44,376,382.22,386.6,388.61,387.84,384.11,377.53,368.47,357.42,344.92,331.43,317.36,0.02,0.12,0.13
313.76,324.54,335.35,346.18,356.96,367.57,377.79,387.22,395.31,401.34,404.49,404.07,399.77,391.76,380.65,367.22,352.23,336.26,319.75,0.02,0.12,0.14
314.77,326.61,338.58,350.71,362.99,375.37,387.63,399.4,409.99,418.38,423.3,423.54,418.54,408.59,394.75,378.3,360.31,341.51,322.33,0.02,0.12,0.15
305.4,307.77,310.06,312.22,314.22,316.02,317.55,318.78,319.66,320.16,320.22,319.84,319.01,317.72,316.01,313.92,311.49,308.81,305.95,0.02,0.13,0.05
306.01,308.98,311.86,314.59,317.13,319.42,321.39,322.99,324.15,324.82,324.95,324.51,323.48,321.86,319.69,317.01,313.91,310.47,306.79,0.02,0.13,0.06
306.66,310.27,313.78,317.13,320.25,323.09,325.55,327.58,329.08,329.97,330.2,329.72,328.49,326.51,323.84,320.52,316.65,312.35,307.75,0.02,0.13,0.07
307.35,311.65,315.84,319.86,323.63,327.08,330.12,332.65,334.56,335.76,336.14,335.64,334.21,331.85,328.61,324.55,319.8,314.51,308.85,0.02,0.13,0.08
308.09,313.12,318.05,322.8,327.3,331.46,335.16,338.3,340.73,342.31,342.92,342.45,340.83,338.06,334.17,329.26,323.49,317.05,310.14,0.02,0.13,0.09
308.87,314.69,320.41,325.97,331.28,336.24,340.74,344.61,347.69,349.79,350.74,350.37,348.59,345.35,340.72,334.81,327.84,320.03,311.66,0.02,0.13,0.1
309.69,316.34,322.91,329.34,335.56,341.44,346.87,351.64,355.56,358.37,359.81,359.65,357.73,353.99,348.49,341.41,332.99,323.56,313.45,0.02,0.13,0.11
310.54,318.06,325.52,332.89,340.1,347.04,353.55,359.44,364.43,368.19,370.36,370.58,368.6,364.31,357.79,349.27,339.11,327.74,315.57,0.02,0.13,0.12
311.4,319.79,328.18,336.55,344.83,352.95,360.75,368,374.37,379.43,382.66,383.53,381.61,376.71,368.94,358.65,346.36,332.65,318.04,0.02,0.13,0.13
312.24,321.5,330.82,340.2,349.63,359.05,368.32,377.21,385.35,392.19,396.98,398.92,397.27,391.7,382.35,369.82,354.9,338.38,320.91,0.02,0.13,0.14
